date_game,date,time,home,away,score1,score2,set1p1,set1p2,set2p1,set2p2,set3p1,set3p2,set4p1,set4p2,set5p1,set5p2,win,pr_home,pr_away,elo_home,elo_away
2021-11-09,2021-11-09 00:07:00,00:07,Журба Н,Праведнов А,3,1,11,9,8,11,11,8,11,6,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 00:14:00,00:14,Серебренников А,Цицельский А,0,3,5,11,10,12,10,12,0,0,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 00:16:00,00:16,Ширшов В,Минков М,3,0,11,6,12,10,14,12,0,0,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 00:32:00,00:32,Огай С,Чурин К,3,1,11,7,11,7,5,11,12,10,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 00:34:00,00:34,Меркушин Ю,Петров А,1,3,8,11,11,6,8,11,11,13,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 00:46:00,00:46,Ильин А,Балакин Д,3,0,11,4,11,7,11,6,0,0,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 01:00:00,01:00,Цицельский А,Саянов Д,3,1,11,6,5,11,11,6,11,1,0,0,1,0.5066195453580028,0.4933804546419972,1009.1391001827064,995.4608998172936
2021-11-09,2021-11-09 01:03:00,01:03,Павленко Р,Журба Н,3,1,11,5,6,11,11,3,11,9,0,0,1,0.49338045464199715,0.5066195453580029,1004.6608998172936,999.9391001827064
2021-11-09,2021-11-09 01:15:00,01:15,Лбов Ю,Ширшов В,0,3,10,12,13,15,7,11,0,0,0,0,0,0.49338045464199715,0.5066195453580029,995.4608998172936,1009.1391001827064
2021-11-09,2021-11-09 01:30:00,01:30,Чурин К,Праведнов А,3,2,9,11,11,9,11,9,7,11,11,8,1,0.5,0.5,1000.0,990.8
2021-11-09,2021-11-09 01:30:00,01:30,Серебренников А,Меркушин Ю,0,3,12,14,8,11,10,12,0,0,0,0,0,0.5,0.5,990.8,1000.0
2021-11-09,2021-11-09 01:46:00,01:46,Балакин Д,Минков М,3,2,11,8,7,11,11,7,8,11,11,8,1,0.5,0.5,1000.0,990.8
2021-11-09,2021-11-09 01:50:00,01:50,Саянов Д,Петров А,3,2,7,11,11,4,12,10,5,11,11,9,1,0.48685081020342724,0.5131491897965728,1000.181872363422,999.8790274538716
2021-11-09,2021-11-09 02:05:00,02:05,Огай С,Журба Н,2,3,9,11,11,8,11,3,9,11,8,11,0,0.5067071716746249,0.49329282832537513,999.9382940205935,1004.6008061621129
2021-11-09,2021-11-09 02:15:00,02:15,Ильин А,Ширшов В,3,0,12,10,11,5,12,10,0,0,0,0,1,0.49346808136531106,0.5065319186346889,1009.2600936514392,1004.4790065312673
2021-11-09,2021-11-09 02:21:00,02:21,Цицельский А,Меркушин Ю,0,3,8,11,7,11,9,11,0,0,0,0,0,0.5131491897965728,0.48685081020342724,1004.418127636578,1004.7209725461285
2021-11-09,2021-11-09 02:35:00,02:35,Праведнов А,Павленко Р,0,3,8,11,6,11,3,11,0,0,0,0,0,0.4800631377464521,0.5199368622535478,986.3834191327326,1009.077480684561
2021-11-09,2021-11-09 02:47:00,02:47,Минков М,Лбов Ю,3,0,11,8,11,8,11,7,0,0,0,0,1,0.4932928283253751,0.506707171674625,995.4617059794065,990.7991938378871
2021-11-09,2021-11-09 02:48:00,02:48,Петров А,Серебренников А,3,0,11,8,11,7,12,10,0,0,0,0,1,0.513062797588751,0.48693720241124905,1004.358849716055,986.3201777378165
2021-11-09,2021-11-09 03:01:00,03:01,Журба Н,Чурин К,3,2,5,11,11,13,12,10,11,3,14,12,1,0.5066207053151616,0.49337929468483843,1009.1398956732135,995.4609104888995
2021-11-09,2021-11-09 03:14:00,03:14,Ширшов В,Балакин Д,3,0,11,6,11,4,11,7,0,0,0,0,1,0.5064454514832328,0.49355454851676717,1009.0197083776216,995.4592981536457
2021-11-09,2021-11-09 03:18:00,03:18,Меркушин Ю,Саянов Д,3,0,11,4,11,8,12,10,0,0,0,0,1,0.5065319186346888,0.4934680813653112,1009.2608788946893,995.6419660148612
